epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.176,1.53112,1.61589,1.5902,0.60411,0.41163,0.4548,0.24995,1.76301,1.76417,1.75646,0.000166478,0.000166478,0.0668708
2,573.85,1.49946,1.54546,1.56219,0.62614,0.44709,0.49014,0.26728,1.69816,1.65352,1.70922,0.000329022,0.000329022,0.0337
3,839.617,1.46672,1.50252,1.54718,0.66303,0.44803,0.51769,0.29291,1.65615,1.57151,1.68021,0.000487441,0.000487441,0.000525106
4,1104.45,1.46151,1.48266,1.54027,0.64944,0.45698,0.51638,0.29277,1.6716,1.58965,1.68689,0.000481438,0.000481438,0.000481438
5,1367.47,1.45939,1.47086,1.53962,0.63201,0.45974,0.50987,0.28975,1.64239,1.58647,1.65783,0.00047525,0.00047525,0.00047525
6,1631.63,1.45584,1.46817,1.53109,0.6382,0.46015,0.52004,0.29368,1.64881,1.55917,1.66969,0.000469063,0.000469063,0.000469063
7,1897.14,1.45091,1.45813,1.53297,0.64102,0.46482,0.52465,0.2961,1.66373,1.55344,1.6639,0.000462875,0.000462875,0.000462875
8,2161.87,1.44434,1.45979,1.53675,0.64688,0.4673,0.52431,0.29272,1.65645,1.54914,1.67711,0.000456687,0.000456687,0.000456687
9,2425.96,1.44274,1.44839,1.52364,0.62283,0.45937,0.51332,0.28956,1.64836,1.57309,1.66254,0.0004505,0.0004505,0.0004505
10,2688.23,1.44382,1.45695,1.52613,0.64013,0.46634,0.51979,0.28661,1.66983,1.5567,1.68752,0.000444312,0.000444312,0.000444312
11,2951.58,1.43142,1.42764,1.521,0.63907,0.46531,0.52137,0.28903,1.66021,1.55276,1.66612,0.000438125,0.000438125,0.000438125
12,3215.36,1.42007,1.4269,1.51818,0.64962,0.45173,0.50889,0.28276,1.67543,1.56756,1.69375,0.000431938,0.000431938,0.000431938
13,3477.33,1.43339,1.42616,1.51608,0.63592,0.46565,0.52648,0.29574,1.64119,1.54176,1.64846,0.00042575,0.00042575,0.00042575
14,3740.04,1.4281,1.41881,1.51531,0.645,0.4508,0.51584,0.29099,1.6547,1.57167,1.67057,0.000419563,0.000419563,0.000419563
15,4002.57,1.42139,1.41958,1.51098,0.65679,0.45467,0.53033,0.29138,1.64499,1.55875,1.6643,0.000413375,0.000413375,0.000413375
16,4264.24,1.43257,1.41862,1.51368,0.63549,0.4626,0.525,0.29329,1.64955,1.53815,1.65823,0.000407187,0.000407187,0.000407187
17,4528.33,1.41461,1.40833,1.50469,0.64035,0.45658,0.5224,0.29064,1.65323,1.54446,1.66502,0.000401,0.000401,0.000401
